1	1	1
2	2	2
3	2	3
4	2	4
5	3	5
6	3	6
7	3	7
8	4	1
9	5	2
10	5	4
11	7	3
12	7	4
13	7	5
14	7	6
15	7	7
16	8	8
17	9	9
18	9	10
19	10	3
20	10	5
21	10	6
22	11	2
23	11	3
24	11	4
25	11	6
26	11	8
27	11	9
28	12	9
29	12	10
30	13	11
31	13	12
32	13	13
33	14	14
34	15	15
35	15	16
36	15	17
37	16	20
38	16	21
39	16	22
40	16	18
41	16	19
42	17	14
43	17	22
44	18	23
45	19	16
46	19	15
47	20	24
48	20	16
49	21	19
50	21	21
51	23	14
52	24	25
53	24	18
54	24	22
55	25	16
56	27	14
57	28	18
58	28	19
59	28	20
60	28	21
61	28	22
62	29	15
63	29	24
64	30	18
65	31	16
66	31	26
67	32	27
68	32	28
69	32	29
70	33	30
71	33	31
72	34	25
73	35	27
74	35	32
75	35	33
76	36	30
77	36	34
78	37	27
79	37	28
80	38	35
81	38	36
82	40	25
83	39	37
84	41	16
85	41	26
86	42	17
87	42	26
88	42	38
89	43	34
90	43	29
91	44	27
92	46	39
93	46	40
94	46	41
95	46	42
96	47	43
97	47	44
98	47	41
99	48	39
100	49	43
101	49	40
102	49	42
103	49	45
104	50	45
105	50	42
106	51	39
107	51	43
108	52	42
109	52	45
110	52	46
111	53	23
112	54	45
113	54	40
114	54	42
115	55	48
116	56	46
117	57	43
118	57	41
119	58	23
120	58	49
121	59	43
122	59	42
123	59	50
124	60	51
125	60	52
126	61	53
127	61	54
128	61	55
129	61	56
130	61	10
131	62	48
132	62	57
133	63	58
134	64	59
135	64	60
136	64	57
137	65	53
138	65	56
139	66	49
140	67	61
141	67	62
142	68	51
143	68	52
144	69	59
145	69	60
146	70	55
147	71	49
148	72	57
149	72	59
150	72	60
151	73	63
152	74	64
153	75	57
154	75	59
155	76	65
156	76	66
157	77	67
158	77	68
159	77	54
160	78	68
161	78	69
162	78	70
163	78	73
164	78	54
165	79	67
166	79	69
167	79	70
168	80	65
169	80	66
170	80	69
171	80	70
172	81	65
173	82	69
174	82	54
175	83	69
176	83	54
177	83	67
178	84	71
179	84	72
180	85	54
181	86	74
182	86	75
183	87	76
184	88	77
185	89	78
186	89	79
187	90	76
188	91	78
189	92	76
190	92	79
191	93	1
192	94	79
193	94	80
194	95	80
195	96	82
196	97	79
197	98	79
198	98	80
199	98	81
200	99	3
201	99	5
202	99	6
203	99	7
204	100	80
205	101	83
206	101	84
207	102	85
208	104	83
209	105	88
210	103	89
211	106	85
212	108	84
213	108	86
214	108	87
215	107	83
216	110	91
217	109	88
218	112	83
219	111	90
220	113	85
221	113	89
222	114	91
223	116	92
224	116	93
225	115	65
226	115	94
227	118	93
228	118	95
229	117	11
230	117	14
231	120	96
232	119	97
233	124	94
234	121	11
235	121	12
236	121	13
237	122	13
238	122	93
239	122	95
240	123	97
241	126	97
242	125	98
243	128	99
244	128	100
245	127	10
246	127	55
247	127	53
248	129	101
249	129	102
250	131	103
251	131	104
252	130	102
253	130	105
254	130	82
255	132	101
256	132	102
257	133	99
258	133	100
259	135	71
260	135	103
261	135	106
262	135	109
263	134	105
264	134	82
265	140	105
266	137	107
267	136	87
268	136	72
269	139	71
270	139	103
271	139	106
272	139	109
273	138	101
274	138	102
275	141	101
276	141	102
277	143	108
278	142	86
279	142	87
280	144	107
